Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/booking/1793,1,0,146.67866599999968,146.67866599999968,146.67866599999968,146.67866599999968,176.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/180,1,0,158.13341700000194,158.13341700000194,158.13341700000194,158.13341700000194,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/1801,1,0,145.61479099999985,145.61479099999985,145.61479099999985,145.61479099999985,182.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/1807,1,0,162.75754100000128,162.75754100000128,162.75754100000128,162.75754100000128,182.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/1811,1,0,143.51295900000238,143.51295900000238,143.51295900000238,143.51295900000238,182.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/1815,1,0,143.57095899999985,143.57095899999985,143.57095899999985,143.57095899999985,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/1822,1,0,144.5626250000007,144.5626250000007,144.5626250000007,144.5626250000007,180.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/183,1,0,145.48437499999878,145.48437499999878,145.48437499999878,145.48437499999878,182.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1834,1,0,154.6413330000007,154.6413330000007,154.6413330000007,154.6413330000007,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/1842,1,0,160.43304100000455,160.43304100000455,160.43304100000455,160.43304100000455,182.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/1854,1,0,152.5660829999964,152.5660829999964,152.5660829999964,152.5660829999964,180.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1867,1,0,162.829207999998,162.829207999998,162.829207999998,162.829207999998,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/187,1,0,145.13887500000067,145.13887500000067,145.13887500000067,145.13887500000067,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1873,1,0,167.16441699999507,167.16441699999507,167.16441699999507,167.16441699999507,7.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
PUT,/booking/1873,1,0,236.50233299999712,236.50233299999712,236.50233299999712,236.50233299999712,182.0,0.016934836038073553,0.0,240,240,240,240,240,240,240,240,240,240,240
PUT,/booking/1878,1,0,143.6815830000029,143.6815830000029,143.6815830000029,143.6815830000029,180.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/1879,1,0,140.5412090000002,140.5412090000002,140.5412090000002,140.5412090000002,182.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/1892,1,0,149.6097919999997,149.6097919999997,149.6097919999997,149.6097919999997,182.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
